trailing_12m,next_month_ret,quintile,date,ticker
0.04388651455953929,-0.09030171724111169,2,2020-01-01,ISF.L
0.15818539508843532,-0.08675460355314502,3,2020-01-01,VMID.L
0.09100082561232914,-0.08769864626250734,2,2020-01-01,CUKX.L
0.04282843700799277,-0.09078428802320881,1,2020-01-01,XUKX.L
-0.010495302711607923,-0.09960470875775962,1,2020-01-01,IUKD.L
0.09331874888515612,-0.08976567246922995,3,2020-01-01,VUKE.L
-0.08964211972667302,0.09726585842993862,1,2020-01-01,XUKS.L
0.11797257354794732,-0.061703668353838004,3,2020-01-01,UKRE.L
-0.07022095489781688,-0.14652815071094838,1,2020-02-01,ISF.L
0.03338041689113869,-0.23002455098813668,3,2020-02-01,VMID.L
-0.027951979931911897,-0.13640552995391708,2,2020-02-01,CUKX.L
-0.07506650470413245,-0.12965228062674117,1,2020-02-01,XUKX.L
-0.11330442059429313,-0.26402250470192357,1,2020-02-01,IUKD.L
-0.024402083644174954,-0.1448557572894993,2,2020-02-01,VUKE.L
0.02446640521585075,0.10704273702846767,3,2020-02-01,XUKS.L
0.035321474690390264,-0.13150749408426365,3,2020-02-01,UKRE.L
-0.2235668014574771,0.04276565032237234,1,2020-03-01,ISF.L
-0.1996547225187798,0.11207229964521148,2,2020-03-01,VMID.L
-0.18698481561822122,0.0402881536819637,2,2020-03-01,CUKX.L
-0.21884985630144105,-0.031844617963709076,1,2020-03-01,XUKX.L
-0.33776965250814583,0.07034016265497489,1,2020-03-01,IUKD.L
-0.1806717637134989,0.05399113521239007,3,2020-03-01,VUKE.L
0.17073642430795033,-0.04617248667729923,3,2020-03-01,XUKS.L
-0.10704278138805035,0.0349963402321436,3,2020-03-01,UKRE.L
-0.21010777252944757,0.0292196829179987,1,2020-04-01,ISF.L
-0.14944090773157992,0.03314570952869755,3,2020-04-01,VMID.L
-0.17436049466373027,0.03113618876635038,2,2020-04-01,CUKX.L
-0.22674608644093652,0.032275964774949095,1,2020-04-01,XUKX.L
-0.29015367841448425,0.02715349681387136,1,2020-04-01,IUKD.L
-0.1691537396026228,0.02901608680873724,2,2020-04-01,VUKE.L
0.1413894969851004,-0.035829666129375104,3,2020-04-01,XUKS.L
-0.07703009820346363,0.011412889723415587,3,2020-04-01,UKRE.L
-0.16189207936616234,0.00935177199318038,1,2020-05-01,ISF.L
-0.08524474504901303,0.004690769846895204,3,2020-05-01,VMID.L
-0.12804980728002402,0.01932039497422,2,2020-05-01,VUKG.L
-0.12164642139299131,0.021888369316485967,2,2020-05-01,CUKX.L
-0.1798825679121323,0.020703675959413026,1,2020-05-01,XUKX.L
-0.22458534893761117,0.006652627697360636,1,2020-05-01,IUKD.L
-0.11878899991465641,0.012138234437509832,2,2020-05-01,VUKE.L
0.06977786422352028,-0.027227575049210584,3,2020-05-01,XUKS.L
-0.05409649379093917,0.0035308138414869017,3,2020-05-01,UKRE.L
-0.17550865732421328,-0.03898137239802213,1,2020-06-01,ISF.L
-0.09249805697849978,-0.00814865135698084,3,2020-06-01,VMID.L
-0.13726441973252212,-0.04220347502876276,2,2020-06-01,VUKG.L
-0.13710829202722008,-0.04059974686009149,2,2020-06-01,CUKX.L
-0.1970213768490766,-0.0397564328779485,1,2020-06-01,XUKX.L
-0.2272891016552937,-0.07084412752149538,1,2020-06-01,IUKD.L
-0.13156576921080476,-0.03433804858121381,2,2020-06-01,VUKE.L
0.0827227581938701,0.03832434163618226,3,2020-06-01,XUKS.L
-0.06259287497023969,0.004398106529985624,3,2020-06-01,UKRE.L
-0.22498684480261977,0.01584051365577488,1,2020-07-01,ISF.L
-0.12223113330009827,0.05553437213533963,3,2020-07-01,VMID.L
-0.19519847004898183,0.018327146761459856,2,2020-07-01,VUKG.L
-0.19070302233902758,0.013497057032677118,2,2020-07-01,CUKX.L
-0.24424792850119403,0.012251534465257619,1,2020-07-01,XUKX.L
-0.2900351932438866,0.06664184307063525,1,2020-07-01,IUKD.L
-0.19031703819051127,0.016778585892814224,2,2020-07-01,VUKE.L
0.15042262853533428,-0.015048299097501272,3,2020-07-01,XUKS.L
-0.048864387890362626,0.01843451567181953,3,2020-07-01,UKRE.L
-0.17920872164466217,-0.023898382352971703,1,2020-08-01,ISF.L
-0.06231277817862957,-0.033375112199102386,3,2020-08-01,VMID.L
-0.13875833152385775,-0.014455376729885172,2,2020-08-01,VUKG.L
-0.14223138366400412,-0.013918093521578023,2,2020-08-01,CUKX.L
-0.19927028480920284,-0.014607512826121272,1,2020-08-01,XUKX.L
-0.22152259778835814,-0.047385440961627334,1,2020-08-01,IUKD.L
-0.13934524398396153,-0.023856616269782416,2,2020-08-01,VUKE.L
0.08383856414309765,0.011368435737781901,3,2020-08-01,XUKS.L
-0.04412345085394542,-0.02515325514802369,3,2020-08-01,UKRE.L
-0.21186660768919485,-0.045229475518360096,1,2020-09-01,ISF.L
-0.11565558460406022,0.006774361074821211,3,2020-09-01,VMID.L
-0.1805301470804127,-0.046041718528589515,2,2020-09-01,VUKG.L
-0.18205980066445182,-0.04610073111291635,2,2020-09-01,CUKX.L
-0.2381417961647565,-0.04633623548372123,1,2020-09-01,XUKX.L
-0.28298710207208233,-0.03707056071719972,1,2020-09-01,IUKD.L
-0.17569983816385848,-0.03845721821043835,2,2020-09-01,VUKE.L
0.13416527785096966,0.04650883194742805,3,2020-09-01,XUKS.L
